Invoice,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,__sheet_name,IsCancellation,Invoice_str,Revenue,InvoiceMonth,InvoiceYear,Category
C495790,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:18:00,21.85,13136.0,United Kingdom,Year 2009-2010,True,C495790,-21.85,2010-01-01,2010,Other
C495793,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:21:00,36.75,12497.0,Germany,Year 2009-2010,True,C495793,-36.75,2010-01-01,2010,Other
C495796,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:24:00,15.76,14358.0,United Kingdom,Year 2009-2010,True,C495796,-15.76,2010-01-01,2010,Other
C495797,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:25:00,10.51,12826.0,United Kingdom,Year 2009-2010,True,C495797,-10.51,2010-01-01,2010,Other
C495800,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:27:00,103.5,12346.0,United Kingdom,Year 2009-2010,True,C495800,-103.5,2010-01-01,2010,Other
C495803,ADJUST,adjustment by john on 26/01/2010 17,-1,2010-01-26 17:29:00,59.1,,EIRE,Year 2009-2010,True,C495803,-59.1,2010-01-01,2010,Other
495996,22168,damages,-243,2010-01-28 11:41:00,0.0,,United Kingdom,Year 2009-2010,True,495996,-0.0,2010-01-01,2010,Damaged Stock
496006,84641,damages,-51,2010-01-28 12:30:00,0.0,,United Kingdom,Year 2009-2010,True,496006,-0.0,2010-01-01,2010,Damaged Stock
497275,22058,damaged?,-191,2010-02-08 13:57:00,0.0,,United Kingdom,Year 2009-2010,True,497275,-0.0,2010-02-01,2010,Other
497994,84680,damages?,-46,2010-02-15 14:17:00,0.0,,United Kingdom,Year 2009-2010,True,497994,-0.0,2010-02-01,2010,Other
498034,35978,damages,-22,2010-02-16 10:08:00,0.0,,United Kingdom,Year 2009-2010,True,498034,-0.0,2010-02-01,2010,Damaged Stock
498930,72754A,damaged,-62,2010-02-24 10:24:00,0.0,,United Kingdom,Year 2009-2010,True,498930,-0.0,2010-02-01,2010,Damaged Stock
499371,84782B,"damages, lost bits etc",-46,2010-02-26 11:51:00,0.0,,United Kingdom,Year 2009-2010,True,499371,-0.0,2010-02-01,2010,Other
499373,84782A,"damages, lost bits etc",-20,2010-02-26 11:52:00,0.0,,United Kingdom,Year 2009-2010,True,499373,-0.0,2010-02-01,2010,Other
499518,37410,damages,-355,2010-03-01 10:02:00,0.0,,United Kingdom,Year 2009-2010,True,499518,-0.0,2010-03-01,2010,Damaged Stock
500258,21752,lost in space,-53,2010-03-05 13:36:00,0.0,,United Kingdom,Year 2009-2010,True,500258,-0.0,2010-03-01,2010,Other
500562,84839,damaged,-26,2010-03-08 15:37:00,0.0,,United Kingdom,Year 2009-2010,True,500562,-0.0,2010-03-01,2010,Damaged Stock
501185,82607C,damages,-67,2010-03-15 11:56:00,0.0,,United Kingdom,Year 2009-2010,True,501185,-0.0,2010-03-01,2010,Damaged Stock
502564,84414B,damaged,-12,2010-03-25 11:53:00,0.0,,United Kingdom,Year 2009-2010,True,502564,-0.0,2010-03-01,2010,Damaged Stock
503240,21463,damaged,-37,2010-03-30 17:53:00,0.0,,United Kingdom,Year 2009-2010,True,503240,-0.0,2010-03-01,2010,Damaged Stock
503429,84750A,damages,-85,2010-03-31 17:53:00,0.0,,United Kingdom,Year 2009-2010,True,503429,-0.0,2010-03-01,2010,Damaged Stock
503993,35824C,damaged,-58,2010-04-09 11:02:00,0.0,,United Kingdom,Year 2009-2010,True,503993,-0.0,2010-04-01,2010,Damaged Stock
504590,84578,damages,-52,2010-04-15 10:25:00,0.0,,United Kingdom,Year 2009-2010,True,504590,-0.0,2010-04-01,2010,Damaged Stock
505149,84932D,damages,-16,2010-04-20 11:38:00,0.0,,United Kingdom,Year 2009-2010,True,505149,-0.0,2010-04-01,2010,Damaged Stock
505752,35824P,damages,-26,2010-04-26 09:41:00,0.0,,United Kingdom,Year 2009-2010,True,505752,-0.0,2010-04-01,2010,Damaged Stock
505753,72750A,damages,-54,2010-04-26 09:43:00,0.0,,United Kingdom,Year 2009-2010,True,505753,-0.0,2010-04-01,2010,Damaged Stock
505754,84869,damages,-13,2010-04-26 09:43:00,0.0,,United Kingdom,Year 2009-2010,True,505754,-0.0,2010-04-01,2010,Damaged Stock
507154,84858A,wet and rotting,-100,2010-05-06 13:32:00,0.0,,United Kingdom,Year 2009-2010,True,507154,-0.0,2010-05-01,2010,Other
507155,84858B,wet & rotting,-200,2010-05-06 13:32:00,0.0,,United Kingdom,Year 2009-2010,True,507155,-0.0,2010-05-01,2010,Other
507688,22423,smashed,-32,2010-05-11 09:56:00,0.0,,United Kingdom,Year 2009-2010,True,507688,-0.0,2010-05-01,2010,Other
507708,22423,damaged,-90,2010-05-11 11:18:00,0.0,,United Kingdom,Year 2009-2010,True,507708,-0.0,2010-05-01,2010,Damaged Stock
507873,20820,damages,-143,2010-05-11 14:59:00,0.0,,United Kingdom,Year 2009-2010,True,507873,-0.0,2010-05-01,2010,Damaged Stock
507874,20821,damages,-194,2010-05-11 15:00:00,0.0,,United Kingdom,Year 2009-2010,True,507874,-0.0,2010-05-01,2010,Damaged Stock
508350,35816B,damaged,-17,2010-05-14 12:26:00,0.0,,United Kingdom,Year 2009-2010,True,508350,-0.0,2010-05-01,2010,Damaged Stock
508855,84807,damages,-40,2010-05-18 15:14:00,0.0,,United Kingdom,Year 2009-2010,True,508855,-0.0,2010-05-01,2010,Damaged Stock
508860,84078A,damages etc,-16,2010-05-18 15:35:00,0.0,,United Kingdom,Year 2009-2010,True,508860,-0.0,2010-05-01,2010,Other
509013,72038B,damaged,-244,2010-05-19 13:35:00,0.0,,United Kingdom,Year 2009-2010,True,509013,-0.0,2010-05-01,2010,Damaged Stock
509016,84625B,damaged,-47,2010-05-19 13:43:00,0.0,,United Kingdom,Year 2009-2010,True,509016,-0.0,2010-05-01,2010,Damaged Stock
C509473,ADJUST,adjustment by peter on 24/05/2010 1,-1,2010-05-24 11:12:00,300.13,17050.0,United Kingdom,Year 2009-2010,True,C509473,-300.13,2010-05-01,2010,Other
C509474,ADJUST,adjustment by peter on 24/05/2010 1,-1,2010-05-24 11:13:00,72.45,16422.0,United Kingdom,Year 2009-2010,True,C509474,-72.45,2010-05-01,2010,Other
C509475,ADJUST,adjustment by peter on 24/05/2010 1,-1,2010-05-24 11:13:00,358.47,17364.0,United Kingdom,Year 2009-2010,True,C509475,-358.47,2010-05-01,2010,Other
511116,85060,damaged/dirty,-408,2010-06-07 10:40:00,0.0,,United Kingdom,Year 2009-2010,True,511116,-0.0,2010-06-01,2010,Other
511697,22171,damaged,-1,2010-06-09 16:55:00,0.0,,United Kingdom,Year 2009-2010,True,511697,-0.0,2010-06-01,2010,Damaged Stock
511696,21760,damaged,-1,2010-06-09 16:55:00,0.0,,United Kingdom,Year 2009-2010,True,511696,-0.0,2010-06-01,2010,Damaged Stock
512442,71477,"wet, rusty-thrown away",-312,2010-06-15 16:43:00,0.0,,United Kingdom,Year 2009-2010,True,512442,-0.0,2010-06-01,2010,Other
512884,85060,damaged,-88,2010-06-18 12:02:00,0.0,,United Kingdom,Year 2009-2010,True,512884,-0.0,2010-06-01,2010,Damaged Stock
513098,84508A,wet ctn,-48,2010-06-21 15:08:00,0.0,,United Kingdom,Year 2009-2010,True,513098,-0.0,2010-06-01,2010,Other
514017,21735,damages,-143,2010-06-30 10:23:00,0.0,,United Kingdom,Year 2009-2010,True,514017,-0.0,2010-06-01,2010,Damaged Stock
514100,22470,crushed,-4,2010-06-30 12:30:00,0.0,,United Kingdom,Year 2009-2010,True,514100,-0.0,2010-06-01,2010,Other
514099,21463,smashed,-7,2010-06-30 12:30:00,0.0,,United Kingdom,Year 2009-2010,True,514099,-0.0,2010-06-01,2010,Other
514101,35001W,broken,-12,2010-06-30 12:31:00,0.0,,United Kingdom,Year 2009-2010,True,514101,-0.0,2010-06-01,2010,Other
514102,22423,damaged,-14,2010-06-30 12:32:00,0.0,,United Kingdom,Year 2009-2010,True,514102,-0.0,2010-06-01,2010,Damaged Stock
514948,21532,damaged,-57,2010-07-07 11:46:00,0.0,,United Kingdom,Year 2009-2010,True,514948,-0.0,2010-07-01,2010,Damaged Stock
515048,35972,check,-27,2010-07-08 10:48:00,0.0,,United Kingdom,Year 2009-2010,True,515048,-0.0,2010-07-01,2010,Uncategorised — needs review
515049,35963,checked,-10,2010-07-08 10:50:00,0.0,,United Kingdom,Year 2009-2010,True,515049,-0.0,2010-07-01,2010,Other
515052,85080,checked,-61,2010-07-08 10:50:00,0.0,,United Kingdom,Year 2009-2010,True,515052,-0.0,2010-07-01,2010,Other
515055,35611B,damaged,-204,2010-07-08 10:53:00,0.0,,United Kingdom,Year 2009-2010,True,515055,-0.0,2010-07-01,2010,Damaged Stock
515058,35607B,checked,-57,2010-07-08 10:54:00,0.0,,United Kingdom,Year 2009-2010,True,515058,-0.0,2010-07-01,2010,Other
515069,35978,damages,-48,2010-07-08 10:57:00,0.0,,United Kingdom,Year 2009-2010,True,515069,-0.0,2010-07-01,2010,Damaged Stock
515158,35603C,checked,-52,2010-07-08 15:31:00,0.0,,United Kingdom,Year 2009-2010,True,515158,-0.0,2010-07-01,2010,Other
515160,85081,checked,-38,2010-07-08 15:33:00,0.0,,United Kingdom,Year 2009-2010,True,515160,-0.0,2010-07-01,2010,Other
515289,22057,smashed,-23,2010-07-09 14:59:00,0.0,,United Kingdom,Year 2009-2010,True,515289,-0.0,2010-07-01,2010,Other
515482,20787,damaged,-4,2010-07-13 10:21:00,0.0,,United Kingdom,Year 2009-2010,True,515482,-0.0,2010-07-01,2010,Damaged Stock
515856,22607,damages,-70,2010-07-15 11:25:00,0.0,,United Kingdom,Year 2009-2010,True,515856,-0.0,2010-07-01,2010,Damaged Stock
515878,21877,damages,-190,2010-07-15 11:32:00,0.0,,United Kingdom,Year 2009-2010,True,515878,-0.0,2010-07-01,2010,Damaged Stock
516014,37479P,damages,-450,2010-07-16 09:57:00,0.0,,United Kingdom,Year 2009-2010,True,516014,-0.0,2010-07-01,2010,Damaged Stock
516198,21843,damaged,-11,2010-07-19 10:33:00,0.0,,United Kingdom,Year 2009-2010,True,516198,-0.0,2010-07-01,2010,Damaged Stock
516200,22423,smashed,-31,2010-07-19 10:33:00,0.0,,United Kingdom,Year 2009-2010,True,516200,-0.0,2010-07-01,2010,Other
516473,21545,damages,-30,2010-07-20 15:56:00,0.0,,United Kingdom,Year 2009-2010,True,516473,-0.0,2010-07-01,2010,Damaged Stock
516491,21463,damaged,-27,2010-07-21 10:24:00,0.0,,United Kingdom,Year 2009-2010,True,516491,-0.0,2010-07-01,2010,Damaged Stock
516723,85161,damaged,-7,2010-07-22 12:38:00,0.0,,United Kingdom,Year 2009-2010,True,516723,-0.0,2010-07-01,2010,Damaged Stock
516724,84356,damaged,-14,2010-07-22 12:40:00,0.0,,United Kingdom,Year 2009-2010,True,516724,-0.0,2010-07-01,2010,Damaged Stock
516755,22165,damaged,-11,2010-07-22 16:33:00,0.0,,United Kingdom,Year 2009-2010,True,516755,-0.0,2010-07-01,2010,Damaged Stock
516756,22167,damaged,-13,2010-07-22 16:33:00,0.0,,United Kingdom,Year 2009-2010,True,516756,-0.0,2010-07-01,2010,Damaged Stock
516759,45008C,"dirty, torn, thrown away.",-15,2010-07-22 16:40:00,0.0,,United Kingdom,Year 2009-2010,True,516759,-0.0,2010-07-01,2010,Other
517278,22487,damages,-16,2010-07-28 10:28:00,0.0,,United Kingdom,Year 2009-2010,True,517278,-0.0,2010-07-01,2010,Damaged Stock
517908,84918,damages,-23,2010-08-03 10:16:00,0.0,,United Kingdom,Year 2009-2010,True,517908,-0.0,2010-08-01,2010,Damaged Stock
518223,84691,damages,-79,2010-08-05 13:54:00,0.0,,United Kingdom,Year 2009-2010,True,518223,-0.0,2010-08-01,2010,Damaged Stock
519359,85124A,damaged,-26,2010-08-16 12:47:00,0.0,,United Kingdom,Year 2009-2010,True,519359,-0.0,2010-08-01,2010,Damaged Stock
519478,21652,damages,-58,2010-08-17 12:52:00,0.0,,United Kingdom,Year 2009-2010,True,519478,-0.0,2010-08-01,2010,Damaged Stock
519480,21529,damages,-62,2010-08-17 12:53:00,0.0,,United Kingdom,Year 2009-2010,True,519480,-0.0,2010-08-01,2010,Damaged Stock
520321,21312,damaged,-45,2010-08-25 12:13:00,0.0,,United Kingdom,Year 2009-2010,True,520321,-0.0,2010-08-01,2010,Damaged Stock
520399,21130,damaged,-17,2010-08-25 16:14:00,0.0,,United Kingdom,Year 2009-2010,True,520399,-0.0,2010-08-01,2010,Damaged Stock
520501,84367,crushed,-24,2010-08-26 12:36:00,0.0,,United Kingdom,Year 2009-2010,True,520501,-0.0,2010-08-01,2010,Other
520739,21007,damages?,-121,2010-08-31 10:10:00,0.0,,United Kingdom,Year 2009-2010,True,520739,-0.0,2010-08-01,2010,Other
521171,84405A,damaged,-13,2010-09-02 15:13:00,0.0,,United Kingdom,Year 2009-2010,True,521171,-0.0,2010-09-01,2010,Damaged Stock
521198,79000,wet/smashed/unsellable,-700,2010-09-02 17:31:00,0.0,,United Kingdom,Year 2009-2010,True,521198,-0.0,2010-09-01,2010,Other
521492,35001G,damages,-43,2010-09-06 13:46:00,0.0,,United Kingdom,Year 2009-2010,True,521492,-0.0,2010-09-01,2010,Damaged Stock
521491,35001W,damages,-39,2010-09-06 13:46:00,0.0,,United Kingdom,Year 2009-2010,True,521491,-0.0,2010-09-01,2010,Damaged Stock
521859,82607A,damages,-42,2010-09-09 11:00:00,0.0,,United Kingdom,Year 2009-2010,True,521859,-0.0,2010-09-01,2010,Damaged Stock
521867,35015,wet damages,-4354,2010-09-09 11:03:00,0.0,,United Kingdom,Year 2009-2010,True,521867,-0.0,2010-09-01,2010,Storage Conditions
521939,21431,crushed,-110,2010-09-09 16:33:00,0.0,,United Kingdom,Year 2009-2010,True,521939,-0.0,2010-09-01,2010,Other
522194,21540,damages,-28,2010-09-13 11:54:00,0.0,,United Kingdom,Year 2009-2010,True,522194,-0.0,2010-09-01,2010,Damaged Stock
524151,35600D,damages,-36,2010-09-27 15:42:00,0.0,,United Kingdom,Year 2009-2010,True,524151,-0.0,2010-09-01,2010,Damaged Stock
525292,20825,damages,-90,2010-10-05 09:05:00,0.0,,United Kingdom,Year 2009-2010,True,525292,-0.0,2010-10-01,2010,Damaged Stock
525460,22423,"broken, uneven bottom",-35,2010-10-05 14:46:00,0.0,,United Kingdom,Year 2009-2010,True,525460,-0.0,2010-10-01,2010,Other
525525,22138,mouldy,-2000,2010-10-05 18:05:00,0.0,,United Kingdom,Year 2009-2010,True,525525,-0.0,2010-10-01,2010,Other
525759,85065,damaged,-31,2010-10-07 10:34:00,0.0,,United Kingdom,Year 2009-2010,True,525759,-0.0,2010-10-01,2010,Damaged Stock
526609,21735,broken glass,-53,2010-10-12 12:17:00,0.0,,United Kingdom,Year 2009-2010,True,526609,-0.0,2010-10-01,2010,Other
526917,84406B,damaged,-11,2010-10-13 16:21:00,0.0,,United Kingdom,Year 2009-2010,True,526917,-0.0,2010-10-01,2010,Damaged Stock
527112,37448,damages,-80,2010-10-14 17:27:00,0.0,,United Kingdom,Year 2009-2010,True,527112,-0.0,2010-10-01,2010,Damaged Stock
527652,16245A,damaged,-1,2010-10-18 13:56:00,0.0,,United Kingdom,Year 2009-2010,True,527652,-0.0,2010-10-01,2010,Damaged Stock
527707,22138,damages,-135,2010-10-18 15:16:00,0.0,,United Kingdom,Year 2009-2010,True,527707,-0.0,2010-10-01,2010,Damaged Stock
529134,22423,wonky bottom/broken,-35,2010-10-26 14:48:00,0.0,,United Kingdom,Year 2009-2010,True,529134,-0.0,2010-10-01,2010,Other
529135,21843,broken,-10,2010-10-26 14:49:00,0.0,,United Kingdom,Year 2009-2010,True,529135,-0.0,2010-10-01,2010,Other
529521,84709A,damaged,-15,2010-10-28 15:35:00,0.0,,United Kingdom,Year 2009-2010,True,529521,-0.0,2010-10-01,2010,Damaged Stock
529523,85165,damages,-1,2010-10-28 15:37:00,0.0,,United Kingdom,Year 2009-2010,True,529523,-0.0,2010-10-01,2010,Damaged Stock
529550,72232,wet cartons,-1400,2010-10-28 17:18:00,0.0,,United Kingdom,Year 2009-2010,True,529550,-0.0,2010-10-01,2010,Other
529560,20914,damages,-40,2010-10-28 18:02:00,0.0,,United Kingdom,Year 2009-2010,True,529560,-0.0,2010-10-01,2010,Damaged Stock
529584,79302M,crushed,-40,2010-10-28 19:26:00,0.0,,United Kingdom,Year 2009-2010,True,529584,-0.0,2010-10-01,2010,Other
529730,22785,broken zips,-9,2010-10-29 14:14:00,0.0,,United Kingdom,Year 2009-2010,True,529730,-0.0,2010-10-01,2010,Other
529732,22786,broken zips,-10,2010-10-29 14:14:00,0.0,,United Kingdom,Year 2009-2010,True,529732,-0.0,2010-10-01,2010,Other
530309,84978,damages,-400,2010-11-02 13:25:00,0.0,,United Kingdom,Year 2009-2010,True,530309,-0.0,2010-11-01,2010,Damaged Stock
530591,20830,damages,-161,2010-11-03 15:12:00,0.0,,United Kingdom,Year 2009-2010,True,530591,-0.0,2010-11-01,2010,Damaged Stock
530603,79000,damaged,-1500,2010-11-03 15:18:00,0.0,,United Kingdom,Year 2009-2010,True,530603,-0.0,2010-11-01,2010,Damaged Stock
532843,35400,damages,-189,2010-11-15 10:11:00,0.0,,United Kingdom,Year 2009-2010,True,532843,-0.0,2010-11-01,2010,Damaged Stock
C533840,21407,brown check cat doorstop,-1,2010-11-19 11:07:00,4.25,15311.0,United Kingdom,Year 2009-2010,True,C533840,-4.25,2010-11-01,2010,Other
533868,21843,damaged,-25,2010-11-19 11:34:00,0.0,,United Kingdom,Year 2009-2010,True,533868,-0.0,2010-11-01,2010,Damaged Stock
533872,22423,damaged,-29,2010-11-19 11:35:00,0.0,,United Kingdom,Year 2009-2010,True,533872,-0.0,2010-11-01,2010,Damaged Stock
533992,85063,damaged,-16,2010-11-19 14:05:00,0.0,,United Kingdom,Year 2009-2010,True,533992,-0.0,2010-11-01,2010,Damaged Stock
534502,20786,damages,-18,2010-11-23 11:29:00,0.0,,United Kingdom,Year 2009-2010,True,534502,-0.0,2010-11-01,2010,Damaged Stock
534503,20787,damaged,-1,2010-11-23 11:30:00,0.0,,United Kingdom,Year 2009-2010,True,534503,-0.0,2010-11-01,2010,Damaged Stock
535280,16169C,damages,-200,2010-11-25 14:16:00,0.0,,United Kingdom,Year 2009-2010,True,535280,-0.0,2010-11-01,2010,Damaged Stock
535339,85084,damages,-15,2010-11-25 16:16:00,0.0,,United Kingdom,Year 2009-2010,True,535339,-0.0,2010-11-01,2010,Damaged Stock
535884,84270,damaged,-411,2010-11-29 11:11:00,0.0,,United Kingdom,Year 2009-2010,True,535884,-0.0,2010-11-01,2010,Damaged Stock
537425,84968F,check,-20,2010-12-06 15:35:00,0.0,,United Kingdom,Year 2009-2010,True,537425,-0.0,2010-12-01,2010,Uncategorised — needs review
537426,84968E,check,-35,2010-12-06 15:36:00,0.0,,United Kingdom,Year 2009-2010,True,537426,-0.0,2010-12-01,2010,Uncategorised — needs review
537432,35833G,damages,-43,2010-12-06 16:10:00,0.0,,United Kingdom,Year 2009-2010,True,537432,-0.0,2010-12-01,2010,Damaged Stock
537425,84968F,check,-20,2010-12-06 15:35:00,0.0,,United Kingdom,Year 2010-2011,True,537425,-0.0,2010-12-01,2010,Uncategorised — needs review
537426,84968E,check,-35,2010-12-06 15:36:00,0.0,,United Kingdom,Year 2010-2011,True,537426,-0.0,2010-12-01,2010,Uncategorised — needs review
537432,35833G,damages,-43,2010-12-06 16:10:00,0.0,,United Kingdom,Year 2010-2011,True,537432,-0.0,2010-12-01,2010,Damaged Stock
540010,22501,reverse 21/5/10 adjustment,-100,2011-01-04 11:13:00,0.0,,United Kingdom,Year 2010-2011,True,540010,-0.0,2011-01-01,2011,Other
540012,22502,reverse 21/5/10 adjustment,-100,2011-01-04 11:14:00,0.0,,United Kingdom,Year 2010-2011,True,540012,-0.0,2011-01-01,2011,Other
540564,22617,"mouldy, thrown away.",-2600,2011-01-10 10:36:00,0.0,,United Kingdom,Year 2010-2011,True,540564,-0.0,2011-01-01,2011,Storage Conditions
540638,72038P,damages,-990,2011-01-10 12:14:00,0.0,,United Kingdom,Year 2010-2011,True,540638,-0.0,2011-01-01,2011,Damaged Stock
542361,85161,samples/damages,-20,2011-01-27 12:47:00,0.0,,United Kingdom,Year 2010-2011,True,542361,-0.0,2011-01-01,2011,Other
543257,84611B,thrown away,-1430,2011-02-04 16:06:00,0.0,,United Kingdom,Year 2010-2011,True,543257,-0.0,2011-02-01,2011,Disposed / Unsaleable
543259,84612B,thrown away,-162,2011-02-04 16:07:00,0.0,,United Kingdom,Year 2010-2011,True,543259,-0.0,2011-02-01,2011,Disposed / Unsaleable
543260,84613A,thrown away,-230,2011-02-04 16:07:00,0.0,,United Kingdom,Year 2010-2011,True,543260,-0.0,2011-02-01,2011,Disposed / Unsaleable
543262,84614A,thrown away,-390,2011-02-04 16:08:00,0.0,,United Kingdom,Year 2010-2011,True,543262,-0.0,2011-02-01,2011,Disposed / Unsaleable
543827,84406B,incorrectly made-thrown away.,-64,2011-02-14 09:44:00,0.0,,United Kingdom,Year 2010-2011,True,543827,-0.0,2011-02-01,2011,Other
545236,22797,damages,-15,2011-03-01 10:32:00,0.0,,United Kingdom,Year 2010-2011,True,545236,-0.0,2011-03-01,2011,Damaged Stock
545546,84249A,check,-150,2011-03-03 15:03:00,0.0,,United Kingdom,Year 2010-2011,True,545546,-0.0,2011-03-01,2011,Uncategorised — needs review
545990,84598,check,-3000,2011-03-08 13:07:00,0.0,,United Kingdom,Year 2010-2011,True,545990,-0.0,2011-03-01,2011,Uncategorised — needs review
546010,22423,damages,-19,2011-03-08 15:55:00,0.0,,United Kingdom,Year 2010-2011,True,546010,-0.0,2011-03-01,2011,Damaged Stock
546124,35610C,thrown away.,-1121,2011-03-09 14:50:00,0.0,,United Kingdom,Year 2010-2011,True,546124,-0.0,2011-03-01,2011,Other
546126,35611B,thrown away,-27,2011-03-09 14:52:00,0.0,,United Kingdom,Year 2010-2011,True,546126,-0.0,2011-03-01,2011,Disposed / Unsaleable
